Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.105,-1.70200847193566E-18,-0.0524050771331315,0,0,0,0.210311173097364,0.000418134046945269,1.74423204889991E-08,-8.55304753379831E-22,0.00072839928147298,-6.64391468002592E-21,0.000816896416868302,0,0,0,0,0,0,package://mydog_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/base_link.STL,,四足机器人.asm-1/侧板.prt-2;四足机器人.asm-1/新肩膀.prt-2;四足机器人.asm-1/侧板.prt-1;四足机器人.asm-1/上下盖板.prt-1;四足机器人.asm-1/新肩膀.prt-1,imu_coor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
11,-0.0224123714717193,3.46521422667223E-13,-6.26906588159712E-05,0,0,0,0.182382758104873,0.000126686811945173,3.95742473689468E-16,-1.71117122824554E-07,8.66279482181998E-05,1.91882345389318E-11,8.19833718653844E-05,0,0,0,0,0,0,package://mydog_description/meshes/11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/11.STL,,四足机器人.asm-1/新电机.prt-4;四足机器人.asm-1/肩关节连接器2.prt-2,11_coor,11_axi,11,revolute,0.0405,0.045,-0.0425,0,0,0,base_link,1,0,0,17,44,0,0,,,,,,,,
12,-1.37033676064768E-06,0.0119848794491349,-0.00856326470097551,0,0,0,0.42955945040204,0.000279248950416298,1.42708644353112E-09,-7.41349571141139E-09,0.00039312042285744,-1.51077009857706E-06,0.000199559011391425,0,0,0,0,0,0,package://mydog_description/meshes/12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/12.STL,,四足机器人.asm-1/新电机.prt-6;四足机器人.asm-1/连接盘2.prt-4;四足机器人.asm-1/新电机.prt-12;四足机器人.asm-1/大腿根步1.prt-2;四足机器人.asm-1/大腿.prt-2;四足机器人.asm-1/大腿盖.prt-2,12_coor,12_axi,12,revolute,0.0445,0.0179,0,0,0,0,11,0,1,0,0,0,0,0,,,,,,,,
13,0.000111408035685351,-0.0150000615874885,-0.0783166957771906,0,0,0,0.0197893757415935,2.96247231546076E-05,5.83616095674413E-12,1.27200044284202E-11,2.94597515614904E-05,5.63912591935272E-11,1.47723502880074E-06,0,0,0,0,0,0,package://mydog_description/meshes/13.STL,1,1,1,1,0,0,0,0,0,0,package://mydog_description/meshes/13.STL,,四足机器人.asm-1/小腿.prt-2,13_coor,13_axi,13,revolute,-0.00011148,0.073,-0.156,0,0,0,12,0,1,0,0,0,0,0,,,,,,,,
14,-2.09269545997648E-07,6.96730477062202E-08,0.016099665842982,0,0,0,0.0165731234899718,1.62971777866932E-06,3.14018149487118E-11,-3.74262782890753E-11,2.24154059357759E-06,-7.97693596481891E-11,2.06995116065169E-06,0,0,0,0,0,0,package://mydog_description/meshes/14.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/14.STL,,四足机器人.asm-1/狗脚模具2.prt-4,14_coor,,14,fixed,0.00011148,-0.015,-0.169,0,0,0,13,0,0,0,,,,,,,,,,,,
21,-0.0224123714717193,-6.26907182656594E-05,-5.91031668051301E-11,0,0,0,0.182382758104873,0.000126686811945173,-1.71129806846609E-07,-1.26836263010042E-11,8.62479925698518E-05,1.9188234535176E-11,8.23633275137325E-05,0,0,0,0,0,0,package://mydog_description/meshes/21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/21.STL,,四足机器人.asm-1/新电机.prt-3;四足机器人.asm-1/肩关节连接器2.prt-1,21_coor,21_axi,21,revolute,0.0405,-0.045,-0.0425,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
22,1.37033676067544E-06,-0.0119848794491349,-0.00861649926969918,0,0,0,0.429559450402041,0.000279248950416298,1.42708644269123E-09,7.41349571128629E-09,0.000393120422857439,1.85302971147873E-06,0.000199559011391425,0,0,0,0,0,0,package://mydog_description/meshes/22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/22.STL,,四足机器人.asm-1/新电机.prt-5;四足机器人.asm-1/连接盘2.prt-3;四足机器人.asm-1/新电机.prt-11;四足机器人.asm-1/大腿根步1.prt-3;四足机器人.asm-1/大腿盖.prt-3;四足机器人.asm-1/大腿.prt-3,22_coor,22_axi,22,revolute,0.0445,-0.0179,0,0,0,0,21,0,-1,0,0,0,0,0,,,,,,,,
23,-0.000111556334854573,0.0149999384125115,-0.0783166957772806,0,0,0,0.0197893757415934,2.96247231546073E-05,5.83616096054043E-12,1.27200044296092E-11,2.94597515614902E-05,5.63912591848607E-11,1.47723502880073E-06,0,0,0,0,0,0,package://mydog_description/meshes/23.STL,1,1,1,1,0,0,0,0,0,0,package://mydog_description/meshes/23.STL,,四足机器人.asm-1/小腿.prt-4,23_coor,23_axi,23,revolute,0.00011148,-0.073,-0.156,0,0,0,22,0,-1,0,0,0,0,0,,,,,,,,
24,2.09269546302959E-07,-6.96730477617313E-08,0.016099665842982,0,0,0,0.0165731234899719,1.62971777866932E-06,3.14018149422214E-11,3.74262782971151E-11,2.24154059357759E-06,7.97693596512093E-11,2.06995116065169E-06,0,0,0,0,0,0,package://mydog_description/meshes/24.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/24.STL,,四足机器人.asm-1/狗脚模具2.prt-1,24_coor,,24,fixed,-0.00011148,0.015,-0.169,0,0,0,23,0,0,0,,,,,,,,,,,,
31,0.0224123714717193,6.26907182656525E-05,-5.91031598662362E-11,0,0,0,0.182382758104873,0.000126686811945173,-1.71129806846609E-07,1.26836263014264E-11,8.62479925698518E-05,-1.9188234536044E-11,8.23633275137325E-05,0,0,0,0,0,0,package://mydog_description/meshes/31.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/31.STL,,四足机器人.asm-1/新电机.prt-1;四足机器人.asm-1/肩关节连接器2.prt-4,31_coor,31_axi,31,revolute,-0.2505,-0.045,-0.0425,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
32,-1.76010526534154E-06,-0.0119848794539333,-0.00856326480293162,0,0,0,0.429559450437959,0.000279248932589364,1.35760081511697E-09,-3.05848297374224E-08,0.000393120423564499,1.51077012314479E-06,0.000199559029925528,0,0,0,0,0,0,package://mydog_description/meshes/32.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/32.STL,,四足机器人.asm-1/新电机.prt-8;四足机器人.asm-1/连接盘2.prt-2;四足机器人.asm-1/新电机.prt-10;四足机器人.asm-1/大腿盖.prt-4;四足机器人.asm-1/大腿根步1.prt-4;四足机器人.asm-1/大腿.prt-4,32_coor,32_axi,32,revolute,-0.0445,-0.0179,0,0,0,0,31,0,-1,0,0,0,0,0,,,,,,,,
33,7.40038748614502E-08,0.0150000615911815,-0.0783166621566863,0,0,0,0.0197893757548061,2.96247231942042E-05,5.83633823151134E-12,-1.27213281980368E-11,2.94597515910045E-05,-5.6394963074725E-11,1.47723503893506E-06,0,0,0,0,0,0,package://mydog_description/meshes/33.STL,1,1,1,1,0,0,0,0,0,0,package://mydog_description/meshes/33.STL,,四足机器人.asm-1/小腿.prt-3,33_coor,33_axi,33,revolute,0,-0.073,-0.156,0,0,0,32,0,1,0,0,0,0,0,,,,,,,,
34,2.09269546053159E-07,-6.96730478172425E-08,0.016099665842982,0,0,0,0.0165731234899718,1.62971777866932E-06,3.14018149414209E-11,3.74262782845742E-11,2.24154059357758E-06,7.97693596410887E-11,2.06995116065168E-06,0,0,0,0,0,0,package://mydog_description/meshes/34.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/34.STL,,四足机器人.asm-1/狗脚模具2.prt-2,34_coor,Axis_34,34,fixed,0,0.015,-0.168999999999539,0,0,0,33,0,0,0,,,,,,,,,,,,
41,0.0224123714717193,-6.26907182656594E-05,5.91031598662362E-11,0,0,0,0.182382758104873,0.000126686811945173,1.7112980684661E-07,-1.26836263017949E-11,8.62479925698518E-05,-1.918823453751E-11,8.23633275137325E-05,0,0,0,0,0,0,package://mydog_description/meshes/41.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/41.STL,,四足机器人.asm-1/新电机.prt-2;四足机器人.asm-1/肩关节连接器2.prt-3,41_coor,41_axi,41,revolute,-0.2505,0.045,-0.0425,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
42,-1.37033676070319E-06,0.0119848794491349,-0.00861649926969918,0,0,0,0.42955945040204,0.000279248950416298,1.42708644269078E-09,-7.41349571128488E-09,0.000393120422857439,-1.85302971147873E-06,0.000199559011391425,0,0,0,0,0,0,package://mydog_description/meshes/42.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/42.STL,,四足机器人.asm-1/新电机.prt-9;四足机器人.asm-1/连接盘2.prt-1;四足机器人.asm-1/新电机.prt-7;四足机器人.asm-1/大腿根步1.prt-1;四足机器人.asm-1/大腿盖.prt-1;四足机器人.asm-1/大腿.prt-1,42_coor,42_axi,42,revolute,-0.0445,0.0179,0,0,0,0,41,0,1,0,0,0,0,0,,,,,,,,
43,0.000111408185233142,-0.0150000615874885,-0.0783166957772808,0,0,0,0.0197893757415934,2.96247231546074E-05,5.83616096183456E-12,1.2720004452505E-11,2.94597515614902E-05,5.63912591888534E-11,1.47723502880073E-06,0,0,0,0,0,0,package://mydog_description/meshes/43.STL,1,1,1,1,0,0,0,0,0,0,package://mydog_description/meshes/43.STL,,四足机器人.asm-1/小腿.prt-1,43_coor,43_axi,43,revolute,-0.00011148,0.073,-0.156,0,0,0,42,0,-1,0,0,0,0,0,,,,,,,,
44,-2.09269546053159E-07,6.96730477756091E-08,0.016099665842982,0,0,0,0.0165731234899719,1.62971777866932E-06,3.14018149492581E-11,-3.74262782906894E-11,2.2415405935776E-06,-7.97693596469403E-11,2.0699511606517E-06,0,0,0,0,0,0,package://mydog_description/meshes/44.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mydog_description/meshes/44.STL,,四足机器人.asm-1/狗脚模具2.prt-3,44_coor,Axis_44,44,fixed,0.000111482260043261,-0.015,-0.169000033589626,0,0,0,43,0,0,0,,,,,,,,,,,,
